hcp_id,hcp_uci,one_key,twitter_id,twitter_hander,annotation_date,country_code,specialty_group,load_dts
,7948345,,,MilacicNena,00:00.0,ME,ONCOLOGY,
,7988825,,,Vladimi08024481,00:00.0,ME,ONCOLOGY,
,7990405,,,MarijaStolic2,00:00.0,ME,ONCOLOGY,
,7991620,,,dapcevic_milena,00:00.0,ME,ONCOLOGY,
,7992065,,,nebojsacrnogor1,00:00.0,ME,ONCOLOGY,
,9266578,,,drJevtoErakovic,00:00.0,ME,NEUROLOGY,
,9266580,,,Balsa__Vujovic,00:00.0,ME,NEUROLOGY,
,19033929,,,slavojkajovanov,00:00.0,ME,NEUROLOGY,
,19033949,,,ArditTela,00:00.0,ME,NEUROLOGY,
,19034123,,,ZIdrizovic,00:00.0,ME,NEUROLOGY,
,19034124,,,madzgaljm,00:00.0,ME,NEUROLOGY,
,19034126,,,MerdinMarkisic,00:00.0,ME,NEUROLOGY,
,19517359,,,MilovanRoganov2,00:00.0,ME,NEUROLOGY,
,20542467,,,KoprivicaMitric,00:00.0,ME,NEUROLOGY,
,20642571,,,SlavicaVujisic,00:00.0,ME,NEUROLOGY,
,20642571,,,VujisicSlavica,00:00.0,ME,NEUROLOGY,
,21440228,,,mirkosebek,00:00.0,ME,ONCOLOGY,
,21605318,,,MilicJovan,00:00.0,ME,OPHTHALMOLOGY,
