hcp_id,hcp_uci,one_key,twitter_id,twitter_hander,annotation_date,country_code,specialty_group,load_dts
,6524655,,,drradojevic,24-03-2023 00:00,RS,ONCOLOGY,
,6524681,,,SPopevic,24-03-2023 00:00,RS,ONCOLOGY,
,6524765,,,andjelkovicboka,24-03-2023 00:00,RS,ONCOLOGY,
,6524822,,,OliveraMarkov16,24-03-2023 00:00,RS,ONCOLOGY,
,6524973,,,tibetanka,24-03-2023 00:00,RS,ONCOLOGY,
,6525053,,,Lallae11,24-03-2023 00:00,RS,ONCOLOGY,
,6525055,,,LekovicDanijela,24-03-2023 00:00,RS,ONCOLOGY,
,6525408,,,MarinaCekic3,27-03-2023 00:00,RS,ONCOLOGY,
,6525568,,,zoricalasickg,27-03-2023 00:00,RS,ONCOLOGY,
,6525594,,,MirjanaSefik,27-03-2023 00:00,RS,RHEUMATOLOGY,
,6525609,,,dadabursac,27-03-2023 00:00,RS,ONCOLOGY,
,6525610,,,LazarPo31787807,23-03-2023 00:00,RS,ONCOLOGY,
,6525739,,,Elez4Elez,28-03-2023 00:00,RS,ONCOLOGY,
,6525784,,,MirjanaVeseli10,28-03-2023 00:00,RS,RHEUMATOLOGY,
,6525820,,,djerdji60,28-03-2023 00:00,RS,ONCOLOGY,
,6525902,,,nikolaarsovski,28-03-2023 00:00,RS,ONCOLOGY,
,6525927,,,antichematolog,28-03-2023 00:00,RS,ONCOLOGY,
,6525934,,,LjiljanaIgnjat6,28-03-2023 00:00,RS,ONCOLOGY,
,6525973,,,filipovic_sl,28-03-2023 00:00,RS,ONCOLOGY,
,6526050,,,BilaJelena,28-03-2023 00:00,RS,ONCOLOGY,
,6526109,,,AleksandraKadic,28-03-2023 00:00,RS,RHEUMATOLOGY,
,6526219,,,bzar888,28-03-2023 00:00,RS,ONCOLOGY,
,6526289,,,jeca_dobric,29-03-2023 00:00,RS,ONCOLOGY,
,6526346,,,NevenaSecen,24-03-2023 00:00,RS,ONCOLOGY,
,6526352,,,VStojsic,24-03-2023 00:00,RS,ONCOLOGY,
,6533860,,,jelenaspasic77,23-03-2023 00:00,RS,ONCOLOGY,
,6627963,,,PuricMila,23-03-2023 00:00,RS,ONCOLOGY,
,6706204,,,RadivojeVukmir1,23-03-2023 00:00,RS,ONCOLOGY,
,7246405,,,fedjadjordjevic,27-03-2023 00:00,RS,ONCOLOGY,
,7665502,,,CongorNadj,27-03-2023 00:00,RS,NEUROLOGY,
,7933576,,,VladaIORS,27-03-2023 00:00,RS,ONCOLOGY,
,8045564,,,GoranMitrovi10,27-03-2023 00:00,RS,NEUROLOGY,
,10034518,,,drJDS2912,28-03-2023 00:00,RS,ONCOLOGY,
,10831046,,,MiroslavDIlic,28-03-2023 00:00,RS,ONCOLOGY,
,10846523,,,LorandSakalas,28-03-2023 00:00,RS,NEUROLOGY,
,16129586,,,DjukicNevena1,28-03-2023 00:00,RS,ONCOLOGY,
,16129586,,,djukicnevena021,28-03-2023 00:00,RS,ONCOLOGY,
,16129589,,,CalamacMarina,28-03-2023 00:00,RS,ONCOLOGY,
,17803682,,,kolja_pantic,24-03-2023 00:00,RS,ONCOLOGY,
,17803683,,,PravdicZ,24-03-2023 00:00,RS,ONCOLOGY,
,18406662,,,DrRisD,24-03-2023 00:00,RS,OPHTHALMOLOGY,
,18406664,,,miroslavjeremic,23-03-2023 00:00,RS,OPHTHALMOLOGY,
,18406666,,,sinisababovic,23-03-2023 00:00,RS,OPHTHALMOLOGY,
,18406673,,,vdzina,23-03-2023 00:00,RS,OPHTHALMOLOGY,
,18811814,,,DrNenadPetrovic,24-03-2023 00:00,RS,NEUROLOGY,
,18828821,,,vukmilosevic,24-03-2023 00:00,RS,NEUROLOGY,
,19073791,,,MBudimkic,23-03-2023 00:00,RS,NEUROLOGY,
,19085274,,,vladimirota,23-03-2023 00:00,RS,ONCOLOGY,
,19237367,,,jmrsic1,23-03-2023 00:00,RS,OPHTHALMOLOGY,
,19245342,,,IticTodorovic,28-03-2023 00:00,RS,OPHTHALMOLOGY,
,19517357,,,SabinaFSFS,23-03-2023 00:00,RS,OPHTHALMOLOGY,
,21237612,,,JankovicK,29-03-2023 00:00,RS,ONCOLOGY,
,21431896,,,CerovacNatasa,29-03-2023 00:00,RS,NEUROLOGY,
,21605334,,,Nikola10207673,29-03-2023 00:00,RS,ONCOLOGY,
,22547729,,,MileticSonja,29-03-2023 00:00,RS,ONCOLOGY,
